,_c0,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,cluster
761,762,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2600,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,65,none,own,2-3,skilled employee/official,0 to 2,no,no,bad,0
762,763,... >= 200 DM / salary for at least 1 year,21,delay in paying off in the past,others,5003,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,29,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
763,764,... < 0 DM,60,no credits taken/all credits paid back duly,repairs,6288,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,42,none,own,1,skilled employee/official,0 to 2,no,no,bad,1
764,765,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,others,2538,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,47,none,rent,2-3,unskilled - resident,3 or more,no,no,bad,0
765,766,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,furniture/equipment,1478,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
766,767,... < 0 DM,39,all credits at this bank paid back duly,furniture/equipment,4933,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,guarantor,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad,1
767,768,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,1530,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,32,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad,2
768,769,... < 0 DM,9,critical account/other credits elsewhere,others,1437,... <  100 DM,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,real estate,29,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
769,770,no checking account,15,no credits taken/all credits paid back duly,radio/television,1275,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
770,771,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1823,unknown/no savings account,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,stores,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,no,bad,2
771,772,no checking account,9,no credits taken/all credits paid back duly,others,1422,unknown/no savings account,< 1 yr,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,real estate,27,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,2
772,773,no checking account,18,no credits taken/all credits paid back duly,radio/television,1217,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,4 <= ... < 7 yrs,unknown / no property,47,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad,0
773,774,no checking account,36,no credits taken/all credits paid back duly,others,9271,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
774,775,no checking account,36,existing credits paid back duly till now,retraining,2145,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
775,776,no checking account,36,no credits taken/all credits paid back duly,others,1842,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
776,777,... < 0 DM,18,existing credits paid back duly till now,car (used),4297,unknown/no savings account,>= 7 yrs,< 20,male : divorced/separated,none,4 <= ... < 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
777,778,no checking account,6,all credits at this bank paid back duly,car (used),3384,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,44,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,0
778,779,... < 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1245,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
779,780,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,repairs,4623,... <  100 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
780,781,... < 0 DM,30,all credits at this bank paid back duly,car (used),8386,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,49,none,rent,1,skilled employee/official,0 to 2,no,no,bad,1
781,782,no checking account,24,existing credits paid back duly till now,furniture/equipment,1024,unknown/no savings account,< 1 yr,< 20,female : single,none,>= 7 yrs,unknown / no property,48,stores,rent,1,skilled employee/official,0 to 2,no,no,bad,0
782,783,... < 0 DM,36,no credits taken/all credits paid back duly,others,14318,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,real estate,57,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
783,784,... < 0 DM,6,critical account/other credits elsewhere,repairs,433,500 <= ... < 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,24,bank,for free,1,skilled employee/official,3 or more,no,no,bad,2
784,785,no checking account,12,critical account/other credits elsewhere,furniture/equipment,2149,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,< 1 yr,real estate,29,none,own,1,skilled employee/official,0 to 2,no,no,bad,2
785,786,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,2397,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
786,787,... < 0 DM,6,critical account/other credits elsewhere,others,931,... <  100 DM,< 1 yr,>= 35,female : non-single or male : single,none,< 1 yr,car or other,32,stores,rent,1,unskilled - resident,0 to 2,no,no,bad,2
787,788,... < 0 DM,15,existing credits paid back duly till now,domestic appliances,1512,500 <= ... < 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,female : single,none,4 <= ... < 7 yrs,car or other,61,stores,rent,2-3,skilled employee/official,0 to 2,no,no,bad,0
788,789,... < 0 DM,24,delay in paying off in the past,retraining,4241,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,unknown / no property,36,none,rent,4-5,unskilled - resident,0 to 2,yes (under customer name),no,bad,1
789,790,... < 0 DM,24,all credits at this bank paid back duly,car (used),4736,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,25,bank,rent,1,unskilled - resident,0 to 2,no,no,bad,1
790,791,... < 0 DM,15,delay in paying off in the past,others,1778,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,unknown / no property,26,none,for free,2-3,unemployed/unskilled - non-resident,0 to 2,no,no,bad,2
791,792,0<= ... < 200 DM,15,no credits taken/all credits paid back duly,furniture/equipment,2327,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,25,none,rent,1,unskilled - resident,0 to 2,no,no,bad,2
792,793,no checking account,24,critical account/other credits elsewhere,car (used),6872,unknown/no savings account,< 1 yr,25 <= ... < 35,male : divorced/separated,none,< 1 yr,car or other,55,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
793,794,no checking account,12,no credits taken/all credits paid back duly,repairs,795,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,53,none,rent,1,skilled employee/official,0 to 2,no,no,bad,0
794,795,0<= ... < 200 DM,30,existing credits paid back duly till now,retraining,1908,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,66,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,0
795,796,... < 0 DM,36,delay in paying off in the past,retraining,1953,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,61,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,0
796,797,0<= ... < 200 DM,18,no credits taken/all credits paid back duly,car (used),2864,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,unknown / no property,34,none,rent,1,unskilled - resident,3 or more,no,no,bad,1
797,798,0<= ... < 200 DM,21,all credits at this bank paid back duly,repairs,2319,unknown/no savings account,< 1 yr,25 <= ... < 35,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,33,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
798,799,no checking account,24,no credits taken/all credits paid back duly,others,915,... >= 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad,2
799,800,0<= ... < 200 DM,24,no credits taken/all credits paid back duly,others,947,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,38,bank,own,1,skilled employee/official,3 or more,no,no,bad,0
800,801,no checking account,24,no credits taken/all credits paid back duly,others,1381,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
801,802,no checking account,24,no credits taken/all credits paid back duly,others,1285,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
802,803,no checking account,24,no credits taken/all credits paid back duly,others,1371,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
803,804,... < 0 DM,18,no credits taken/all credits paid back duly,others,1042,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
804,805,no checking account,12,no credits taken/all credits paid back duly,others,900,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
805,806,no checking account,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
806,807,... < 0 DM,18,delay in paying off in the past,others,2278,... <  100 DM,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad,2
807,808,no checking account,60,existing credits paid back duly till now,retraining,6836,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,63,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
808,809,no checking account,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
809,810,no checking account,6,critical account/other credits elsewhere,repairs,1198,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,no,bad,0
810,811,... < 0 DM,48,no credits taken/all credits paid back duly,retraining,15672,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
811,812,no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad,1
812,813,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,domestic appliances,1943,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
813,814,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3190,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
814,815,... < 0 DM,9,critical account/other credits elsewhere,car (new),5129,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,74,bank,own,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad,0
815,816,... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (used),1808,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
816,817,0<= ... < 200 DM,10,no credits taken/all credits paid back duly,others,1240,... <  100 DM,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,48,none,own,1,unskilled - resident,3 or more,no,no,bad,0
817,818,no checking account,12,no credits taken/all credits paid back duly,others,759,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
818,819,... < 0 DM,8,no credits taken/all credits paid back duly,car (used),1237,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
819,820,... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1980,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,co-applicant,1 <= ... < 4 yrs,building soc. savings agr./life insurance,19,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad,2
820,821,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,10961,500 <= ... < 1000 DM,4 <= ... < 7 yrs,>= 35,male : married/widowed,co-applicant,1 <= ... < 4 yrs,real estate,27,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
821,822,no checking account,36,existing credits paid back duly till now,repairs,6887,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,29,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
822,823,no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1938,unknown/no savings account,< 1 yr,< 20,male : divorced/separated,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
823,824,no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,1835,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,2
824,825,no checking account,24,existing credits paid back duly till now,furniture/equipment,1659,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,bad,2
825,826,... < 0 DM,6,existing credits paid back duly till now,others,1209,unknown/no savings account,unemployed,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,0
826,827,... < 0 DM,48,delay in paying off in the past,retraining,3844,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,no,bad,1
827,828,no checking account,12,all credits at this bank paid back duly,others,4843,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,co-applicant,>= 7 yrs,car or other,43,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,0
828,829,... < 0 DM,12,no credits taken/all credits paid back duly,domestic appliances,639,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
829,830,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,5951,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad,1
830,831,... < 0 DM,36,delay in paying off in the past,furniture/equipment,3804,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
831,832,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,4463,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
832,833,... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,7980,... >= 1000 DM,< 1 yr,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
833,834,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4210,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad,1
834,835,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
835,836,... < 0 DM,24,no credits taken/all credits paid back duly,car (new),11560,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad,1
836,837,... >= 200 DM / salary for at least 1 year,18,delay in paying off in the past,retraining,4165,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,stores,rent,2-3,skilled employee/official,3 or more,no,no,bad,1
837,838,... < 0 DM,24,no credits taken/all credits paid back duly,car (used),4057,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : divorced/separated,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
838,839,... >= 200 DM / salary for at least 1 year,18,critical account/other credits elsewhere,others,6458,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,39,bank,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad,1
839,840,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1386,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad,2
840,841,no checking account,36,no credits taken/all credits paid back duly,repairs,1977,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
841,842,... < 0 DM,18,all credits at this bank paid back duly,car (used),1928,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad,2
842,843,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (used),1123,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,no,no,bad,2
843,844,... < 0 DM,24,no credits taken/all credits paid back duly,business,11328,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,29,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
844,845,... < 0 DM,24,all credits at this bank paid back duly,business,11938,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,39,none,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad,1
845,846,... < 0 DM,27,all credits at this bank paid back duly,furniture/equipment,2520,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,23,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad,2
846,847,... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,1919,... <  100 DM,< 1 yr,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,30,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad,1
847,848,... < 0 DM,60,critical account/other credits elsewhere,business,14782,... <  100 DM,>= 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,real estate,60,bank,own,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
848,849,... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,2671,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,co-applicant,>= 7 yrs,real estate,50,none,own,1,skilled employee/official,0 to 2,no,no,bad,1
849,850,... < 0 DM,36,no credits taken/all credits paid back duly,repairs,12612,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,real estate,47,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad,1
850,851,... < 0 DM,45,no credits taken/all credits paid back duly,furniture/equipment,3031,... <  100 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,guarantor,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad,1
851,852,no checking account,12,critical account/other credits elsewhere,furniture/equipment,626,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,bank,rent,1,unskilled - resident,0 to 2,no,no,bad,2
852,853,... < 0 DM,24,all credits at this bank paid back duly,retraining,1935,unknown/no savings account,>= 7 yrs,< 20,male : divorced/separated,none,>= 7 yrs,unknown / no property,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,2
853,854,0<= ... < 200 DM,24,all credits at this bank paid back duly,others,1344,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,37,bank,rent,2-3,unskilled - resident,3 or more,no,no,bad,0
854,855,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),1533,unknown/no savings account,< 1 yr,< 20,female : single,co-applicant,< 1 yr,car or other,43,none,rent,1,unskilled - resident,3 or more,no,no,bad,0
855,856,no checking account,48,no credits taken/all credits paid back duly,others,3931,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,46,none,own,1,skilled employee/official,3 or more,no,no,bad,1
856,857,no checking account,24,critical account/other credits elsewhere,car (used),3349,100 <= ... <  500 DM,< 1 yr,< 20,male : married/widowed,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad,1
857,858,no checking account,36,no credits taken/all credits paid back duly,furniture/equipment,2302,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,for free,1,skilled employee/official,0 to 2,no,no,bad,1
858,859,no checking account,42,no credits taken/all credits paid back duly,furniture/equipment,3965,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,bad,1
859,860,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,727,... <  100 DM,< 1 yr,< 20,female : single,none,4 <= ... < 7 yrs,real estate,33,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad,2
860,861,... >= 200 DM / salary for at least 1 year,48,no credits taken/all credits paid back duly,retraining,3914,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,38,bank,rent,1,skilled employee/official,0 to 2,no,no,bad,1
861,862,no checking account,48,no credits taken/all credits paid back duly,retraining,4308,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad,1
862,863,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1534,unknown/no savings account,< 1 yr,>= 35,female : single,none,< 1 yr,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
863,864,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,2775,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,31,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad,2
864,865,no checking account,40,all credits at this bank paid back duly,repairs,5998,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,27,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad,1
865,866,0<= ... < 200 DM,15,all credits at this bank paid back duly,furniture/equipment,1271,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,39,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad,0
866,867,... < 0 DM,12,no credits taken/all credits paid back duly,others,1295,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad,2
867,868,... < 0 DM,36,no credits taken/all credits paid back duly,car (new),9398,unknown/no savings account,< 1 yr,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad,1
